created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-02-04T20:45:09Z,1621973155307724800,1621973155307724808,"Solo juntos, en equipo, podemos recuperar la seguridad y la paz que merecemos. Gracias por unirse a este cambio por la tranquilidad de las familias guayaquileñas. 
#AquilEsSeguridad https://t.co/7eXSktxHBh","Solo juntos, en equipo, podemos recuperar la seguridad y la paz que merecemos. Gracias por unirse a este cambio por la tranquilidad de las familias guayaquileñas. 
#AquilEsSeguridad https://t.co/7eXSktxHBh",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,107,327,FALSE,NA,FALSE,NA,es,FALSE,NA,181,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T19:02:16Z,1621947262929625e3,1621947262929625089,"Guayaquil es una de las 50 ciudades más violentas del mundo. Las familias guayaquileñas no merecen vivir entre tanta violencia. Pronto podremos vivir en paz. 
#AquilEsSeguridad https://t.co/VSv83R2HNT","Guayaquil es una de las 50 ciudades más violentas del mundo. Las familias guayaquileñas no merecen vivir entre tanta violencia. Pronto podremos vivir en paz. 
#AquilEsSeguridad https://t.co/VSv83R2HNT",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,128,337,FALSE,NA,FALSE,NA,es,FALSE,NA,176,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T14:44:15Z,1621882331781816300,1621882331781816321,Gracias Isabel por permitirme compartir con usted. Su preocupación por el nivel de violencia que vivimos es el mismo que sienten todas las madres guayaquileñas cuando sus hijos salen a trabajar o estudiar. ¡Pronto esto cambiará! #GuayAquilesFamilia https://t.co/4TykrN3pmB,Gracias Isabel por permitirme compartir con usted. Su preocupación por el nivel de violencia que vivimos es el mismo que sienten todas las madres guayaquileñas cuando sus hijos salen a trabajar o estudiar. ¡Pronto esto cambiará! #GuayAquilesFamilia https://t.co/4TykrN3pmB,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,142,556,FALSE,NA,FALSE,NA,es,FALSE,NA,248,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T20:41:57Z,1621609960537788400,1621609960537788419,Qué honor y qué gusto haber conocido mucho más de cerca  a tantas familias guayaquileñas. #GuayAquilesFamilia https://t.co/9S6XHF7SPw,Qué honor y qué gusto haber conocido mucho más de cerca  a tantas familias guayaquileñas. #GuayAquilesFamilia https://t.co/9S6XHF7SPw,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,160,560,FALSE,NA,FALSE,NA,es,FALSE,NA,109,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T04:40:35Z,1621368026787451e3,1621368026787450881,"Llegó el tiempo de cambiar el destino de nuestra ciudad, y los guayaquileños saben que somos los únicos que representamos ese cambio. Este domingo, romperemos paradigmas y juntos iniciaremos un nuevo camino para Guayaquil. Vota 5, vota #PoderDelCambio. https://t.co/HMBE8zXC7q","Llegó el tiempo de cambiar el destino de nuestra ciudad, y los guayaquileños saben que somos los únicos que representamos ese cambio. Este domingo, romperemos paradigmas y juntos iniciaremos un nuevo camino para Guayaquil. Vota 5, vota #PoderDelCambio. https://t.co/HMBE8zXC7q",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,419,1125,FALSE,NA,FALSE,NA,es,FALSE,NA,252,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T04:16:30Z,1621361966685061e3,1621361966685061125,"Guayaquil, cuento contigo para hacer realidad este CAMBIO. Este domingo 5, vota con el corazón, con conciencia, vota por ti y por tu familia… ¡VOTA TODO 5️⃣! 
#AquilEsAlcalde #AquilEsCambio https://t.co/S4wC3Ib46W","Guayaquil, cuento contigo para hacer realidad este CAMBIO. Este domingo 5, vota con el corazón, con conciencia, vota por ti y por tu familia… ¡VOTA TODO 5️⃣! 
#AquilEsAlcalde #AquilEsCambio https://t.co/S4wC3Ib46W",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,265,944,FALSE,NA,FALSE,NA,es,FALSE,NA,189,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T03:10:40Z,1621345397980414e3,1621345397980413953,"Junto al  @MashiRafael vamos a cambiarle la vida a los guayaquileños. Mi compromiso es priorizar la inversión social en los barrios más olvidados. ¡El cambio llega este 5, votando por la ✋🏼! #AquilEsCambio https://t.co/P8FGCqiXtC","Junto al  @MashiRafael vamos a cambiarle la vida a los guayaquileños. Mi compromiso es priorizar la inversión social en los barrios más olvidados. ¡El cambio llega este 5, votando por la ✋🏼! #AquilEsCambio https://t.co/P8FGCqiXtC",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,573,1694,FALSE,NA,FALSE,NA,es,FALSE,NA,205,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T02:29:58Z,1621335153812422700,1621335153812422656,"Este domingo, Guayaquil tendrá un nuevo alcalde y un mejor destino, lleno prosperidad, bienestar, seguridad, paz y esperanza. ¡Gracias guayaquileños por jugársela conmigo por el cambio que merecemos! #AquilEsCambio #AquilesAlcalde https://t.co/fTQUCGgfdP","Este domingo, Guayaquil tendrá un nuevo alcalde y un mejor destino, lleno prosperidad, bienestar, seguridad, paz y esperanza. ¡Gracias guayaquileños por jugársela conmigo por el cambio que merecemos! #AquilEsCambio #AquilesAlcalde https://t.co/fTQUCGgfdP",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,276,1096,FALSE,NA,FALSE,NA,es,FALSE,NA,230,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-02T14:11:58Z,1621149432543690800,1621149432543690752,"Nos encontramos nuevamente con mi pana #Tranquiles, y en esta ocasión apareció la que sabemos, ¿será que esta vez no huye? 👀

#AquilesAlcalde #VotaTodito5 https://t.co/7tsgnainCM","Nos encontramos nuevamente con mi pana #Tranquiles, y en esta ocasión apareció la que sabemos, ¿será que esta vez no huye? 👀

#AquilesAlcalde #VotaTodito5 https://t.co/7tsgnainCM",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,483,1317,FALSE,NA,FALSE,NA,es,FALSE,NA,154,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-02T03:38:58Z,1620990131846144e3,1620990131846144001,"¡Se viene el cambio de la mano de las y los jóvenes guayaquileños! 💪🏼
Disfrutamos de una gran sesión de #AquilesSinFiltros junto a jóvenes que quieren una ciudad segura y llena de oportunidades. Gracias a @VeritoCamacho, @Batmanguayaco y a mi pana #Tranquiles por acompañarnos. https://t.co/YY6VVGrm0D","¡Se viene el cambio de la mano de las y los jóvenes guayaquileños! 💪🏼
Disfrutamos de una gran sesión de #AquilesSinFiltros junto a jóvenes que quieren una ciudad segura y llena de oportunidades. Gracias a @VeritoCamacho, @Batmanguayaco y a mi pana #Tranquiles por acompañarnos. https://t.co/YY6VVGrm0D",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,236,538,FALSE,NA,FALSE,NA,es,FALSE,NA,277,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
