screen_name;created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable;;
CynthiaViteri6;"2023-02-05T00:56:54Z,1622036510299103200,1622036510299103232,""Si eres de los que se preocupan por el bienestar de tu familia, de tu ciudad y del país, #La6EsTodo #EligeLaColorada https://t.co/ZdTprcFP3F"",""Si eres de los que se preocupan por el bienestar de tu familia, de tu ciudad y del país, #La6EsTodo #EligeLaColorada https://t.co/ZdTprcFP3F"",FALSE,,""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Web App</a>"",NA,NA,NA,NA,NA,,,,NA,FALSE,16,63,FALSE,NA,FALSE,NA,es,FALSE,NA,116,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;
CynthiaViteri6;"2023-02-04T21:19:50Z,1621981884031844400,1621981884031844352,Desde las cámaras de vigilancia se recibió la alerta del robo en un autobus urbano. Agentes de la Policía Nacional llegaron al lugar para la detención de los sospechosos. Ahora están a disposición de las autoridades. https://t.co/FEWX4TRQ9J,Desde las cámaras de vigilancia se recibió la alerta del robo en un autobus urbano. Agentes de la Policía Nacional llegaron al lugar para la detención de los sospechosos. Ahora están a disposición de las autoridades. https://t.co/FEWX4TRQ9J,FALSE,,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",NA,NA,NA,NA,NA,,,,NA,FALSE,23,72,FALSE,NA,FALSE,NA,es,FALSE,NA,216,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;
CynthiaViteri6;"2023-02-04T19:07:16Z,1621948520470134800,1621948520470134790,Somos la VOZ DEL PUEBLO. #LaAlcaldíaDeLaGente https://t.co/BgTmwjPuS7,Somos la VOZ DEL PUEBLO. #LaAlcaldíaDeLaGente https://t.co/BgTmwjPuS7,FALSE,,""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Web App</a>"",NA,NA,NA,NA,NA,,,,NA,FALSE,24,125,FALSE,NA,FALSE,NA,es,FALSE,NA,45,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;
CynthiaViteri6;"2023-02-04T01:08:41Z,1621677085042397200,1621677085042397184,Guayaquil siempre ha luchado por Guayaquil y por la Patria. Este domingo vota por la 6 y #LaAlcaldíaDeLaGente. https://t.co/BBIZW1Cnoe,Guayaquil siempre ha luchado por Guayaquil y por la Patria. Este domingo vota por la 6 y #LaAlcaldíaDeLaGente. https://t.co/BBIZW1Cnoe,FALSE,,""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Web App</a>"",NA,NA,NA,NA,NA,,,,NA,FALSE,46,245,FALSE,NA,FALSE,NA,es,FALSE,NA,110,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;
CynthiaViteri6;"2023-02-03T16:17:49Z,1621543488570495e3,1621543488570494980,Cámaras instaladas en la ciudad permitieron hacer seguimiento de dos sujetos sospechosos. Los ciudadanos habían evadido un punto de control por lo que fueron retenidos por la Policía Nacional para investigaciones. https://t.co/TjTRuhhuWE,Cámaras instaladas en la ciudad permitieron hacer seguimiento de dos sujetos sospechosos. Los ciudadanos habían evadido un punto de control por lo que fueron retenidos por la Policía Nacional para investigaciones. https://t.co/TjTRuhhuWE,FALSE,,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",NA,NA,NA,NA,NA,,,,NA,FALSE,15,85,FALSE,NA,FALSE,NA,es,FALSE,NA,213,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;
CynthiaViteri6;"2023-02-03T01:47:12Z,1621324392406941700,1621324392406941696,""Han sido años difíciles pero lo hemos superado y lo seguiremos haciendo. Gracias Guayaquil, por ser una ciudad generosa y solidaria. Sigamos haciéndonos respetar y para eso, el domingo todo 6. #LaAlcaldíaDeLaGente https://t.co/tRGNdVpqoU"",""Han sido años difíciles pero lo hemos superado y lo seguiremos haciendo. Gracias Guayaquil, por ser una ciudad generosa y solidaria. Sigamos haciéndonos respetar y para eso, el domingo todo 6. #LaAlcaldíaDeLaGente https://t.co/tRGNdVpqoU"",FALSE,,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",1621324331996385300,1621324331996385280,315377387,315377387,CynthiaViteri6,,,,NA,FALSE,11,47,FALSE,NA,FALSE,NA,es,FALSE,NA,213,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;
CynthiaViteri6;"2023-02-03T01:46:58Z,1621324331996385300,1621324331996385280,""Gracias GUAYAQUIL, por cada sonrisa, por cada campanita en el Hospital Bicentenario cuando la gente salvaba su vida, por cada niño con discapacidad rehabilitado, por cada abrazo... Esto compensa todo el esfuerzo. https://t.co/G0wxerKy5u"",""Gracias GUAYAQUIL, por cada sonrisa, por cada campanita en el Hospital Bicentenario cuando la gente salvaba su vida, por cada niño con discapacidad rehabilitado, por cada abrazo... Esto compensa todo el esfuerzo. https://t.co/G0wxerKy5u"",FALSE,,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",NA,NA,NA,NA,NA,,,,NA,FALSE,48,247,FALSE,NA,FALSE,NA,es,FALSE,NA,212,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;
CynthiaViteri6;"2023-02-02T19:49:33Z,1621234385897783300,1621234385897783297,""Rubia, fina y ligera. #EligeLaColorada @eltitasalsaurba https://t.co/NdzbH7EWUI"",""Rubia, fina y ligera. #EligeLaColorada @eltitasalsaurba https://t.co/NdzbH7EWUI"",FALSE,,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",NA,NA,NA,NA,NA,,,,NA,FALSE,7,33,FALSE,NA,FALSE,NA,es,FALSE,NA,55,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;
CynthiaViteri6;"2023-02-02T16:55:17Z,1621190529848418300,1621190529848418308,Crearemos el fondo municipal para deportistas élite de la ciudad. Brindamos oportunidades en #LaAlcaldíaDeLaGente. https://t.co/mF5YjLXcqZ,Crearemos el fondo municipal para deportistas élite de la ciudad. Brindamos oportunidades en #LaAlcaldíaDeLaGente. https://t.co/mF5YjLXcqZ,FALSE,,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",NA,NA,NA,NA,NA,,,,NA,FALSE,8,38,FALSE,NA,FALSE,NA,es,FALSE,NA,114,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;
CynthiaViteri6;"2023-02-02T16:09:56Z,1621179116639895600,1621179116639895554,""poniendo todo nuestro contingente para proteger a nuestra gente e, incluso, ayudar a otras provincias.";;
CynthiaViteri6;;;
CynthiaViteri6;"Guayaquil se caracteriza por su solidaridad pero también por su gente trabajadora, hombres y mujeres que caminan hacia el progreso, trabajando por los suyos y sus sueños. https://t.co/AbIdTIupCk"",""poniendo todo nuestro contingente para proteger a nuestra gente e, incluso, ayudar a otras provincias.";;
CynthiaViteri6;;;
